exp_type,train_size,epochs,val_loss,val_acc,val_f1,val_auc,test_loss,test_acc,test_f1,test_auc
train_size,500,4,0.7007619908877781,0.6453546453546454,0.6068660022148394,0.7242341946563362,0.6184605833083864,0.6903096903096904,0.6723044397463002,0.7755511902195179
train_size,1000,4,0.5911489867028736,0.7592407592407593,0.769377990430622,0.8477694796118055,0.4798226826011188,0.8151848151848152,0.8222862632084534,0.8865997492593568
train_size,1500,4,0.49242105346823495,0.7832167832167832,0.7531285551763367,0.876892048404489,0.3284267498150704,0.8661338661338661,0.8589473684210527,0.9436232821471066
train_size,2000,4,0.5344860507618814,0.7792207792207793,0.7595212187159956,0.8587922840369022,0.24614334236534816,0.8991008991008991,0.8976697061803445,0.963722460452451
train_size,2500,4,0.4996359873385656,0.7822177822177823,0.7545045045045045,0.8763808458804266,0.17248134344579683,0.955044955044955,0.9542217700915565,0.989954403532728
epochs,2500,1,0.543007060648903,0.7212787212787213,0.7195979899497488,0.8016534206637644,0.5179728411492848,0.7612387612387612,0.7640671273445212,0.8307420805085084
epochs,2500,2,0.5563340683778127,0.7302697302697303,0.753199268738574,0.7904229402132673,0.5135594369873168,0.7892107892107892,0.8087035358114234,0.8375575944869
epochs,2500,3,0.46029032885082183,0.7842157842157842,0.7861386138613862,0.8740924158313033,0.22983461665728736,0.916083916083916,0.9169960474308301,0.9711089284430923
epochs,2500,4,0.49008381697866654,0.7752247752247752,0.7989276139410187,0.8834178681257238,0.23608186982926868,0.906093906093906,0.9134438305709024,0.9839094778366034
epochs,2500,5,0.5408060304702275,0.7812187812187812,0.7816550348953141,0.8692759295499023,0.08661004593448034,0.974025974025974,0.9742574257425742,0.9943942696979133
epochs,2500,6,0.4936173465989885,0.7582417582417582,0.7673076923076924,0.850980470466073,0.32318686327290913,0.8821178821178821,0.8886792452830189,0.9538365714011929
