exp_type,train_size,epochs,val_loss,val_acc,val_f1,val_auc,test_loss,test_acc,test_f1,test_auc
train_size,500,4,0.6975246828699869,0.6603396603396603,0.6100917431192661,0.7263828427652861,0.6123022184012428,0.933528929829081,0.6795284030010718,0.933528929829081
train_size,1000,4,0.5340337173806297,0.7712287712287712,0.7540279269602578,0.8510044330843883,0.42499315301104196,0.943702340032390,0.8185567010309278,0.943702340032390
train_size,1500,4,0.5462994778913165,0.7732267732267732,0.7618048268625394,0.8585886017812214,0.38294827843469287,0.8521478521478522,0.8505050505050505,0.9259636346213735
train_size,2000,4,0.5880760250110475,0.7912087912087912,0.8026440037771483,0.8735093254522943,0.2598022696754289,0.9040959040959041,0.9076923076923077,0.9651079222863714
train_size,2500,4,0.5177720646773066,0.7952047952047953,0.7906026557711952,0.8826870082671033,0.19680729585271034,0.9280719280719281,0.9291338582677166,0.9769103003297958
epochs,2500,1,0.5948237781486814,0.6843156843156843,0.6715176715176715,0.7542433803266905,0.5613825363772256,0.7362637362637363,0.7406679764243614,0.7974191281572159
epochs,2500,2,0.5586684566168558,0.7222777222777222,0.7145790554414785,0.8021047166420385,0.46742680337693954,0.7842157842157842,0.7848605577689243,0.8611463798321476
epochs,2500,3,0.4863955078143922,0.7772227772227772,0.7731434384537131,0.8632972562802029,0.3167401780448263,0.8731268731268731,0.8721047331319235,0.9388879572622955
epochs,2500,4,0.5453866358314242,0.7842157842157842,0.7754677754677755,0.8743040856264227,0.18199399220091955,0.926073926073926,0.9254032258064516,0.9801244120770748
epochs,2500,5,0.6758543481192891,0.7862137862137862,0.7897838899803536,0.8687647270258397,0.10950592911196133,0.9590409590409591,0.9598432908912831,0.9927173418297679
epochs,2500,6,0.6026155778339931,0.7812187812187812,0.7785642062689585,0.8608370941331523,0.20443929959502485,0.932067932067932,0.9325396825396826,0.9719394070063643
